guide_type,restaurant_name,restaurant_Type,restaurant_operating hours,restaurant_rating,restaurant_average cost per person,restaurant_price evaluation,restaurant_address
Restaurant,Elegant Diner,Chinese,Daily: 10:00 am - 9:00 pm,4.6,$25 - $40,Inexpensive,"273 Union St, North Beach, San Francisco, CA"
Restaurant,Golden Kitchen,Japanese,Daily: 10:00 am - 9:00 pm,3.8,$40 - $60,Inexpensive,"563 Union St, Financial District, San Francisco, CA"
Restaurant,Elegant Grill,Indian,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4,$80 - $120,Expensive,"843 Union St, SoMa, San Francisco, CA"
Restaurant,Vintage Café,Japanese,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,3.6,$40 - $60,Expensive,"292 Fulton St, Marina, San Francisco, CA"
Restaurant,Tasty Spot,French,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,3.6,$15 - $25,Very Expensive,"315 Union St, Richmond, San Francisco, CA"
Restaurant,Urban Eats,Thai,Daily: 10:00 am - 9:00 pm,3.9,$25 - $40,Inexpensive,"316 Mission St, Pacific Heights, San Francisco, CA"
Restaurant,Vintage Bistro,French,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.2,$60 - $80,Very Expensive,"882 Market St, Potrero Hill, San Francisco, CA"
Restaurant,Golden Eats,Chinese,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4,$40 - $60,Moderate,"630 Mission St, SoMa, San Francisco, CA"
Restaurant,Golden House,French,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.2,$40 - $60,Very Expensive,"434 Market St, Potrero Hill, San Francisco, CA"
Restaurant,Golden Spot,American,Daily: 10:00 am - 9:00 pm,5,$80 - $120,Moderate,"921 Broadway, Bernal Heights, San Francisco, CA"
Restaurant,Sunny Kitchen,American,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.6,$40 - $60,Moderate,"770 Market St, North Beach, San Francisco, CA"
Restaurant,Cozy Grill,Japanese,Daily: 10:00 am - 9:00 pm,4.8,$80 - $120,Moderate,"593 Van Ness Ave, Nob Hill, San Francisco, CA"
Restaurant,Cozy Grill,Chinese,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.6,$25 - $40,Expensive,"815 Main St, Financial District, San Francisco, CA"
Restaurant,Elegant Grill,Thai,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.9,$40 - $60,Expensive,"149 Chestnut St, Chinatown, San Francisco, CA"
Restaurant,Tasty Spot,Japanese,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4,$15 - $25,Moderate,"678 Chestnut St, Haight-Ashbury, San Francisco, CA"
Restaurant,Bayview Bistro,Italian,Daily: 10:00 am - 9:00 pm,4.7,$40 - $60,Expensive,"395 Main St, Marina, San Francisco, CA"
Restaurant,Quince,Chinese,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4,$15 - $25,Inexpensive,"781 Market St, Sunset, San Francisco, CA"
Restaurant,Bayview Café,Greek,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,3.7,$80 - $120,Expensive,"290 Chestnut St, Marina, San Francisco, CA"
Restaurant,Golden Café,Greek,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4,$15 - $25,Moderate,"333 Chestnut St, Haight-Ashbury, San Francisco, CA"
Restaurant,Tasty Grill,Japanese,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.3,$60 - $80,Expensive,"771 Main St, Haight-Ashbury, San Francisco, CA"
Restaurant,Elegant Grill,Italian,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.6,$25 - $40,Expensive,"860 Van Ness Ave, Haight-Ashbury, San Francisco, CA"
Restaurant,Elegant Eats,Japanese,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.8,$40 - $60,Expensive,"322 Van Ness Ave, Haight-Ashbury, San Francisco, CA"
Restaurant,Vintage Eats,Thai,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4,$25 - $40,Very Expensive,"803 Broadway, Financial District, San Francisco, CA"
Restaurant,Mourad,American,Daily: 10:00 am - 9:00 pm,3.7,$40 - $60,Moderate,"220 Market St, Nob Hill, San Francisco, CA"
Restaurant,Elegant Bistro,French,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.1,$25 - $40,Very Expensive,"546 Union St, SoMa, San Francisco, CA"
Restaurant,Tasty Eats,Thai,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.8,$15 - $25,Expensive,"553 Mission St, Bernal Heights, San Francisco, CA"
Restaurant,Bayview Café,Mexican,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.6,$60 - $80,Expensive,"863 Fulton St, SoMa, San Francisco, CA"
Restaurant,Golden Diner,French,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.9,$25 - $40,Inexpensive,"428 Mission St, Financial District, San Francisco, CA"
Restaurant,Bayview Diner,American,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.3,$60 - $80,Inexpensive,"118 Chestnut St, Nob Hill, San Francisco, CA"
Restaurant,Cozy Grill,Thai,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,3.7,$40 - $60,Moderate,"191 Chestnut St, Castro, San Francisco, CA"
Restaurant,Urban Kitchen,Italian,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,3.5,$40 - $60,Moderate,"224 Broadway, Sunset, San Francisco, CA"
Restaurant,Tasty Café,Thai,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.1,$80 - $120,Moderate,"130 Broadway, Nob Hill, San Francisco, CA"
Restaurant,Golden Diner,Italian,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,3.9,$15 - $25,Moderate,"427 Main St, Nob Hill, San Francisco, CA"
Restaurant,Sunny Diner,Thai,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,3.6,$40 - $60,Expensive,"435 Van Ness Ave, Castro, San Francisco, CA"
Restaurant,Cozy Eats,Mexican,Daily: 10:00 am - 9:00 pm,3.5,$60 - $80,Very Expensive,"580 Chestnut St, Castro, San Francisco, CA"
Restaurant,Cozy Café,Mexican,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.9,$40 - $60,Moderate,"855 Market St, Sunset, San Francisco, CA"
Restaurant,Cozy Café,Chinese,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.7,$40 - $60,Very Expensive,"228 Main St, Mission District, San Francisco, CA"
Restaurant,Urban House,Indian,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.9,$40 - $60,Moderate,"992 Broadway, SoMa, San Francisco, CA"
Restaurant,Bayview Diner,Korean,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.6,$15 - $25,Moderate,"987 Main St, Sunset, San Francisco, CA"
Restaurant,Vintage Eats,Chinese,Daily: 10:00 am - 9:00 pm,4.3,$80 - $120,Moderate,"564 Union St, Marina, San Francisco, CA"
Restaurant,Cozy Grill,Japanese,Daily: 10:00 am - 9:00 pm,4,$15 - $25,Inexpensive,"320 Mission St, Financial District, San Francisco, CA"
Restaurant,Urban Grill,Mexican,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.6,$40 - $60,Expensive,"381 Mission St, Bernal Heights, San Francisco, CA"
Restaurant,Tasty Café,Italian,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.3,$60 - $80,Moderate,"408 Chestnut St, Mission District, San Francisco, CA"
Restaurant,Mersea Restaurant & Bar,Korean,Daily: 10:00 am - 9:00 pm,4.2,$25 - $40,Moderate,"534 Broadway, Haight-Ashbury, San Francisco, CA"
Restaurant,NOPA,Indian,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.2,$15 - $25,Very Expensive,"796 Market St, Sunset, San Francisco, CA"
Restaurant,Elegant Diner,Greek,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.5,$15 - $25,Very Expensive,"850 Broadway, Pacific Heights, San Francisco, CA"
Restaurant,Kin Khao,Mexican,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,3.7,$15 - $25,Moderate,"170 Main St, Sunset, San Francisco, CA"
Restaurant,Vintage Eats,Mexican,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.3,$25 - $40,Very Expensive,"657 Market St, Potrero Hill, San Francisco, CA"
Restaurant,Vintage Café,Indian,Daily: 10:00 am - 9:00 pm,4.9,$80 - $120,Very Expensive,"344 Chestnut St, Haight-Ashbury, San Francisco, CA"
Restaurant,Tasty Spot,Japanese,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.6,$80 - $120,Inexpensive,"318 Fulton St, Mission District, San Francisco, CA"
Restaurant,Bayview Grill,Thai,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.7,$25 - $40,Moderate,"184 Main St, Nob Hill, San Francisco, CA"
Restaurant,Vintage Spot,Greek,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,3.8,$80 - $120,Expensive,"934 Van Ness Ave, Chinatown, San Francisco, CA"
Restaurant,Urban Kitchen,Mexican,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4,$60 - $80,Expensive,"417 Van Ness Ave, Haight-Ashbury, San Francisco, CA"
Restaurant,Bayview House,Greek,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.4,$80 - $120,Expensive,"658 Fulton St, Financial District, San Francisco, CA"
